State,Date,Monthly COVID Rate
Connecticut,2021-04-01,69.9
Connecticut,2021-05-01,24.8
Connecticut,2021-06-01,8.9
Connecticut,2021-07-01,13.1
Connecticut,2021-08-01,39.2
Connecticut,2021-09-01,31.2
Connecticut,2021-10-01,25.2
Connecticut,2021-11-01,38.3
Connecticut,2021-12-01,127.8
Connecticut,2022-01-01,212.4
Connecticut,2022-02-01,44.2
Connecticut,2022-03-01,18.8
Connecticut,2022-04-01,28.3
Connecticut,2022-05-01,56.7
Connecticut,2022-06-01,47.2
Connecticut,2022-07-01,69.1
Connecticut,2022-08-01,70.7
Connecticut,2022-09-01,73.7
Connecticut,2022-10-01,64.0
Connecticut,2022-11-01,58.9
Connecticut,2022-12-01,95.6
Connecticut,2023-01-01,93.4
Connecticut,2023-02-01,44.2
Connecticut,2023-03-01,26.2
Connecticut,2023-04-01,16.1
Connecticut,2023-05-01,8.9
Connecticut,2023-06-01,8.3
Connecticut,2023-07-01,9.6
Connecticut,2023-08-01,24.8
Connecticut,2023-09-01,30.9
Connecticut,2023-10-01,32.3
Connecticut,2023-11-01,34.7
Connecticut,2023-12-01,55.4
Georgia,2020-03-01,28.8
Georgia,2020-04-01,31.8
Georgia,2020-05-01,21.3
Georgia,2020-06-01,32.8
Georgia,2020-07-01,84.4
Georgia,2020-08-01,44.4
Georgia,2020-09-01,26.1
Georgia,2020-10-01,26.7
Georgia,2020-11-01,44.0
Georgia,2020-12-01,87.4
Georgia,2021-01-01,115.9
Georgia,2021-02-01,54.0
Georgia,2021-03-01,38.0
Georgia,2021-04-01,37.1
Georgia,2021-05-01,24.0
Georgia,2021-06-01,11.0
Georgia,2021-07-01,31.3
Georgia,2021-08-01,98.5
Georgia,2021-09-01,80.1
Georgia,2021-10-01,31.0
Georgia,2021-11-01,18.9
Georgia,2021-12-01,86.1
Georgia,2022-01-01,170.2
Georgia,2022-02-01,43.0
Georgia,2022-03-01,14.0
Georgia,2022-04-01,9.2
Georgia,2022-05-01,22.5
Georgia,2022-06-01,38.1
Georgia,2022-07-01,57.9
Georgia,2022-08-01,57.1
Georgia,2022-09-01,28.1
Georgia,2022-10-01,17.8
Georgia,2022-11-01,21.5
Georgia,2022-12-01,45.5
Georgia,2023-01-01,42.9
Georgia,2023-02-01,23.6
Georgia,2023-03-01,14.9
Georgia,2023-04-01,9.2
Georgia,2023-05-01,8.3
Georgia,2023-06-01,5.7
Georgia,2023-07-01,8.4
Georgia,2023-08-01,21.0
Georgia,2023-09-01,15.3
Georgia,2023-10-01,11.4
Georgia,2023-11-01,12.7
Georgia,2023-12-01,25.5
Iowa,2020-03-01,0.8
Iowa,2020-04-01,73.4
Iowa,2020-05-01,44.3
Iowa,2020-06-01,19.9
Iowa,2020-07-01,31.3
Iowa,2020-08-01,40.5
Iowa,2020-09-01,42.1
Iowa,2020-10-01,56.6
Iowa,2020-11-01,162.1
Iowa,2020-12-01,69.6
Iowa,2021-01-01,61.9
Iowa,2021-02-01,29.1
Iowa,2021-03-01,19.1
Iowa,2021-04-01,14.5
Iowa,2021-05-01,8.4
Iowa,2021-06-01,23.7
Iowa,2021-07-01,23.7
Iowa,2021-08-01,80.3
Iowa,2021-09-01,67.3
Iowa,2021-10-01,57.5
Iowa,2021-11-01,58.3
